name,2023_W06,2023_W07,group
Horizon Therapeutics Public Limited ,5.0,1.67,Adjusted Price wt. Sentiment Score
Johnson & Johnson,10.0,3.13,Adjusted Price wt. Sentiment Score
Boeing ,4.87,14.7,Adjusted Price wt. Sentiment Score
United Parcel Service,15.0,4.97,Adjusted Price wt. Sentiment Score
ConocoPhillips,11.09,4.47,Adjusted Price wt. Sentiment Score
Alcon ,5.0,5.0,Adjusted Price wt. Sentiment Score
Ameren ,1.67,15.0,Adjusted Price wt. Sentiment Score
Biogen ,15.0,4.83,Adjusted Price wt. Sentiment Score
Biohaven Pharmaceutical,5.0,5.0,Adjusted Price wt. Sentiment Score
CNH Industrial ,5.0,1.67,Adjusted Price wt. Sentiment Score
